study_accession,reported_trait,efo_trait,ontology_id,ontology_uri,publication,journal,pmid,first_author,publication_year,discovery_sample_size,discovery_sample_size_numeric,replication_sample_size,replication_sample_size_numeric,ancestry_population,number_of_reported_associations,summary_statistics_available,study_design_information,appropriate_for_common_variant_pd_risk,appropriateness_reason
GCST000950,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide association study confirms extant PD risk loci among the Dutch.,Eur J Hum Genet,21248740,Simón-Sánchez J,2011,"772 European ancestry cases, 2,024 European ancestry controls",2796,NA,0,European,0,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=514799; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease
GCST000959,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Imputation of sequence variants for identification of genetic risks for Parkinson's disease: a meta-analysis of genome-wide association studies.,Lancet,21292315,Nalls MA,2011,"5,333 European ancestry cases, 12,019 European ancestry controls",17352,"7,053 cases, 9,007 controls",16060,European; NR,11,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=7689524; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 11 ontology-linked reported associations; multiple ancestry groups
GCST001126,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Web-based genome-wide association study identifies two novel loci and a substantial genetic component for Parkinson's disease.,PLoS Genet,21738487,Do CB,2011,"3,426 European ancestry cases, 29,624 European ancestry controls",33050,NA,0,European,11,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=522782; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 11 ontology-linked reported associations
GCST001189,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide association study identifies candidate genes for Parkinson's disease in an Ashkenazi Jewish population.,BMC Med Genet,21812969,Liu X,2011,"268 Ashkenazi Jewish cases, 178 Ashkenazi Jewish controls",446,"1,782 European ancestry cases, 1,658 European ancestry controls",3440,European,3,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=525124; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations
GCST001205,Parkinson's disease (coffee consumption interaction),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide gene-environment study identifies glutamate receptor gene GRIN2A as a Parkinson's disease modifier gene via interaction with coffee.,PLoS Genet,21876681,Hamza TH,2011,"1,458 European ancestry cases, 931 European ancestry controls",2389,"1,014 European ancestry cases, 1,917 European ancestry controls",2931,European,0,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=811597; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease (coffee consumption interaction)
GCST000567,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide association study confirms SNPs in SNCA and the MAPT region as common risk factors for Parkinson disease.,Ann Hum Genet,20070850,Edwards TL,2010,"1,752 European ancestry cases, 1,745 European ancestry controls",3497,NA,0,European,6,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=495715; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 6 ontology-linked reported associations
GCST000772,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Common genetic variation in the HLA region is associated with late-onset sporadic Parkinson's disease.,Nat Genet,20711177,Hamza TH,2010,"2,000 European ancestry cases, 1,986 European ancestry controls",3986,"Up to 1,447 cases, 1,468 controls",2915,European; NR,4,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=811597; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 4 ontology-linked reported associations; multiple ancestry groups
GCST000855,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Dissection of the genetics of Parkinson's disease identifies an additional association 5' of SNCA and multiple associated haplotypes at 17q21.,Hum Mol Genet,21044948,Spencer CC,2010,"1,705 European ancestry cases, 5,175 European ancestry controls",6880,"1,039 European ancestry cases, 1,984 European ancestry controls",3023,European,3,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=532616; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations
GCST000874,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide association study confirms BST1 and suggests a locus on 12q24 as the risk loci for Parkinson's disease in the European population.,Hum Mol Genet,21084426,Saad M,2010,"1,039 European ancestry cases, 1,984 European ancestry controls",3023,"3,232 European ancestry cases, 7,064 European ancestry controls",10296,European,3,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=492929; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations
GCST000528,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide association study reveals genetic risk underlying Parkinson's disease.,Nat Genet,19915575,Simón-Sánchez J,2009,"1,713 European ancestry cases, 3,978 European ancestry controls",5691,"3,361 European ancestry cases, 4,573 European ancestry controls",7934,European,10,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=463185; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 10 ontology-linked reported associations
GCST000530,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide association study identifies common variants at four loci as genetic risk factors for Parkinson's disease.,Nat Genet,19915576,Satake W,2009,"988 Japanese ancestry cases, 2,521 Japanese ancestry controls",3509,"933 Japanese ancestry cases, 15,753 Japanese ancestry controls",16686,East Asian,4,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=435470; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 4 ontology-linked reported associations
GCST000261,Parkinson's disease (familial),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genomewide association study for susceptibility genes contributing to familial Parkinson disease.,Hum Genet,18985386,Pankratz N,2008,"1,119 European ancestry cases, 1,127 European ancestry controls",2246,NA,0,European,1,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=328189; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease (familial)
GCST000005,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide genotyping in Parkinson's disease and neurologically normal controls: first stage analysis and public release of data.,Lancet Neurol,17052657,Fung HC,2006,"267 European ancestry cases, 270 European ancestry controls",537,NA,0,European,3,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=408803; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations
GCST000002,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,High-resolution whole-genome association study of Parkinson disease.,Am J Hum Genet,16252231,Maraganore DM,2005,"381 European ancestry cases, 363 European ancestry controls, 62 cases,79 controls, 1 Asian ancestry control from 443 sibships",886,"269 European ancestry cases, 272 European ancestry controls, 62 cases, 60 controls, 1 Asian ancestry case",664,European; Other; Asian unspecified,1,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=198345; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 1 ontology-linked reported associations; multiple ancestry groups
